Lesson_Number,Lesson_Name,Topics
1.1,represintro,Open source
1.1,represintro,software development
1.1,represintro,Bioconductor
1.1,represintro,{renv}
1.1,represintro,R Markdown
1.1,represintro,R Markdwon Driven Development
1.1,represintro,R package development
1.1,represintro,Git/Github
1.1,represintro,Version Control
1.1,represintro,Open source
1.1,represintro,Guerilla analytics
1.1,represintro,software development
1.1,represintro,Literate programming
1.1,represintro,Programming vs GUI
1.1,represintro,R Markdown
1.1,represintro,R Markdwon Driven Development
1.1,represintro,R package development
1.1,represintro,Git/Github
1.1,represintro,Version Control
